[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBgrAge]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.glBrgage(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getAjsl]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.getAjsl(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBmslLa]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.getBmslLa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/word]}" onto public void com.software.controller.ShfzController.exportWord(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBmslAvg]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.getBmslAvg(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBmslJa]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.getBmslJa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getYqtxlx]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.getYqtxlx(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBgrsf]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.bgrsf(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBgrxb]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.bgrxb(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:591] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getGlzm]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.glzm(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
